exclsv,,exclsv,exclsv,exclsv,exclsv,exclsv,exclsv,exclsv,exclsv,common,common,common,ttl,rent
name,,nmlstrg,cldstrg,canopy,berth,office,stair,mchnrm,sum,passage,ramp,sum,sum,sum
ttlfloor,floor,,,,,,,,,,,,,
ttlfloor,b1,0.0,2565.58,0.0,487.2,207.38,59.78,523.83,3843.77,696.65,0.0,696.65,4540.419999999999,3438.238768514324
ttlfloor,f1,0.0,2881.81,0.0,0.0,87.44,66.4,0.0,3035.65,0.0,0.0,0.0,3035.65,3143.818718904711
ttlfloor,f2,2621.46,0.0,0.0,476.93,73.75,72.9,0.0,3245.04,669.66,0.0,669.66,3914.7000000000003,3360.669871557836
ttlfloor,f3,2698.53,0.0,0.0,390.21,22.92,66.4,0.0,3178.0600000000004,0.0,0.0,0.0,3178.0600000000004,3291.3031864023546
ttlfloor,f4,1397.94,0.0,203.3,0.0,19.52,37.86,0.0,1658.62,0.0,0.0,0.0,1658.62,1717.7212799728993
ttlfloor,sum,6717.93,5447.389999999999,203.3,1354.34,411.01,303.34000000000003,523.83,14961.14,1366.31,0.0,1366.31,16327.45,14951.751825352123
nonfloor,f1,0.0,0.0,0.0,263.47,0.0,0.0,0.0,263.47,525.71,0.0,525.71,789.1800000000001,272.85817464787584
nonfloor,f3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.42,0.0,559.42,559.42,0.0
nonfloor,sum,0.0,0.0,0.0,263.47,0.0,0.0,0.0,263.47,1085.13,0.0,1085.13,1348.6,272.85817464787584
ttl,sum,6717.93,5447.389999999999,203.3,1617.8100000000002,411.01,303.34000000000003,523.83,15224.61,2451.44,0.0,2451.44,17676.05,15224.61
